"CODGEO","P18_POP","P18_POP0014","P18_POP1529","P18_POP3044","P18_POP4559","P18_POP6074","P18_POP7589","P18_POP90P","P18_POPH"
"01153",2092,561,245,515,451,256,60,4,1042
"01155",143.999999999999,22.3098591549295,13.1830985915492,25.3521126760563,36.507042253521,34.4788732394365,10.1408450704225,2.0281690140845,75.0422535211265
"01156",810,190,108,171,179,117,43,2,407
"01157",2213,447.917195424713,318.980538016851,403.920289898893,457.100822008567,431.989255407684,138.676258448574,14.4156407947165,1089.83721508735
"01158",1043,231.777777777778,157.490028490028,234.749287749288,248.616334283001,102.021842355176,65.3732193732194,2.97150997150997,541.805318138651
"01159",3328,607.010185739967,475.524266027564,604.044337926905,693.019772318757,639.682932782995,276.259636508883,32.4588686949278,1657.16241706057
"01160",9895,1950,1742,2556,1919,1214,483,31,4789
"01162",66.0000000000003,11.1692307692308,11.1692307692308,8.12307692307696,20.3076923076924,8.12307692307696,5.0769230769231,2.03076923076924,31.4769230769232
"01163",2060.99999999999,360.894897657042,298.530623557666,349.648881016171,454.95249138069,385.423884114161,171.721051820082,39.8281704541779,1038.71002968521
"01165",1602.99999999999,376.998108448927,190.015132408574,379.019546027741,326.462168978561,254.701134930642,70.7503152585117,5.05359394703655,818.682219419921
"01166",2422,452.113263932963,395.192406621028,453.483140402955,582.438585603603,399.529297534294,127.975233432745,11.2680724724106,1196.03007291344
"01167",639,112,89,102,159,131,40,6,305
"01169",624,125,94,130,163,87,24,1,311
"01170",1064,256,154,221,290,107,31,5,553
"01171",856,146,132,135,245,152,43,3,443
"01173",13093,2688.92756808694,2755.36944297121,3405.59289492192,2395.12365700785,1199.3966815758,521.565384587199,127.024370849065,6545.14427240407
"01174",180,34.7727272727272,24.5454545454545,33.7499999999999,47.0454545454544,26.590909090909,12.2727272727272,1.02272727272727,92.0454545454543
"01175",808.999999999999,146.52806122449,119.698979591837,143.432397959184,183.676020408163,152.719387755102,57.7857142857142,5.1594387755102,398.308673469387
"01177",180,29.5081967213115,22.6229508196721,25.5737704918033,41.3114754098361,42.2950819672131,17.7049180327869,0.983606557377049,93.4426229508197
"01179",1879,321.145435244161,230.386942675159,313.166666666667,442.821656050955,391.957006369427,156.583333333333,22.9389596602972,927.531847133757
"01180",836,166.802850356295,101.273159144893,171.767220902613,196.589073634204,136.023752969121,58.5795724465558,4.96437054631829,412.042755344418
"01181",1235.00000000001,227.650085763296,169.721269296743,205.291595197258,313.018867924532,203.543453401946,85.0428816466525,30.731846769578,605.548885077192
"01183",1448,320.949211446188,187.404278241382,317.317745143841,280.266289156891,246.346810137905,87.3536778719204,8.36198800187168,729.158217895044
"01184",770.000000000001,143.611111111111,111.018518518519,117.12962962963,195.555555555556,138.518518518519,60.0925925925927,4.07407407407408,390.092592592593
"01185",4856,679.308246073298,737.350785340314,731.311518324607,1010.43913612565,965.356020942408,629.210078534031,103.024214659686,2380.95287958115
"01187",643.000000000002,90.9609361637913,63.8115800593594,105.747769002465,156.197343930782,157.25828260979,63.8730368730824,5.15105136073245,328.878052215907
"01188",645,155.330396475771,89.9779735682819,131.651982378855,147.753303964758,81.4537444933921,35.0440528634361,3.78854625550661,327.709251101322
"01189",1125,240.134529147982,181.614349775785,253.251121076233,239.125560538116,147.309417040359,56.5022421524663,7.06278026905829,584.192825112107
"01190",88,13.8426966292135,8.89887640449438,11.8651685393258,19.7752808988764,19.7752808988764,12.8539325842697,0.98876404494382,43.5056179775281
"01191",157.000000000001,21.1346153846155,25.1602564102565,30.1923076923078,34.2179487179488,31.1987179487181,15.0961538461539,0,90.5769230769234
"01192",2255,460.80490305207,374.629944384196,465.850541737304,511.724403357528,323.369774461111,102.024793411093,16.5956395966988,1114.90693634767
"01193",229,31.9774774774774,20.6306306306306,33.009009009009,52.608108108108,66.0180180180179,22.6936936936937,2.06306306306306,107.279279279279
"01194",6356,1136.88649906194,1015.77914269654,1044.73901776252,1367.77143946666,1106.90467927761,575.11057885783,108.808642876904,3028.29433826897
"01195",1770,364.072957776237,231.333725332883,332.31286361931,365.553673378847,264.835258010284,159.663771017691,52.2277508647476,835.228800945367
"01196",1196,297.957482487771,177.146203556091,274.163468063201,215.068003845392,149.908096476144,73.9423241298521,7.81442144155002,600.545594477915
"01197",353.000000000001,64.1290866615664,42.5617490533789,61.5383287453585,74.019773130731,82.9680456660546,23.7035971319683,4.07941961094308,179.678932942201
"01198",268,55,49,58,60,36,8,2,140
"01199",2132,417,356,413,448,307,151,40,1082
"01200",215.000000000001,35.3195503991739,40.3677609918813,38.3664005045759,51.491748045615,35.3195503991739,14.1349896595806,0,110.033067171243
"01202",7175.00000000001,1327.88485758849,1199.99482918177,1346.9313503054,1439.80548412839,1173.54273070565,608.001737653287,78.8390104370158,3483.29859388889
"01203",1313,251.959146353718,214.712352928581,229.361181442667,312.550983754917,233.245102644452,64.4392610873148,6.73197178835418,641.225033805933
"01204",729,162,111,134,167,109,44,2,380
"01206",276.999999999999,49.2191638596242,36.798181941853,48.6221069167608,72.1324827414811,45.8184982001326,21.348738316065,3.06082802408264,154.821941059047
"01207",316,69,45,65,84,41,12,0,172
"01208",128,18.0148148148148,13.2740740740741,18.962962962963,28.4444444444444,31.2888888888889,17.0666666666667,0.948148148148148,57.837037037037
"01209",758,193.884318766067,91.5835475578406,202.652956298201,147.118251928021,79.892030848329,39.9460154241645,2.92287917737789,378.025706940874
"01210",229,30,40,43,57,34,20,5,112
"01211",1393,278,191,276,310,243,89,6,698
"01212",724.999999999999,147.647471910112,103.862359550562,134.41011235955,143.574438202247,135.428370786517,54.9859550561797,5.09129213483145,363.518258426966
"01213",1321,296,207,274,327,150,60,7,642
"01214",155,25.9937888198758,20.2173913043478,25.9937888198758,38.5093167701863,33.695652173913,10.5900621118012,0,76.055900621118
"01215",137,23,17,28,38,19,12,0,74
"01216",891,153.315524485216,91.7706066947678,167.816251463772,152.986442509398,210.956943801883,91.094126950263,23.0601040946999,441.412567291198
"01219",166,24.2926829268293,27.3292682926829,32.390243902439,30.3658536585366,37.4512195121951,12.1463414634146,2.02439024390244,83
